# dim ns_lnz ns_lnz_err
001 -2.34350e+00 5.61726e-02
001 -2.32973e+00 5.59704e-02
001 -2.31925e+00 5.59990e-02
001 -2.30506e+00 5.57690e-02
001 -2.34774e+00 5.61177e-02
001 -2.28310e+00 5.53267e-02
001 -2.34024e+00 5.63085e-02
001 -2.32159e+00 5.60647e-02
001 -2.32065e+00 5.57186e-02
001 -2.35135e+00 5.62452e-02
001 -2.34358e+00 5.60690e-02
001 -2.30103e+00 5.56188e-02
001 -2.31036e+00 5.55848e-02
001 -2.32845e+00 5.60364e-02
001 -2.31604e+00 5.58356e-02
001 -2.30943e+00 5.57846e-02
001 -2.22942e+00 5.46005e-02
001 -2.33779e+00 5.59868e-02
001 -2.30533e+00 5.56091e-02
001 -2.38960e+00 5.68275e-02
001 -2.32491e+00 5.58847e-02
